primer estado 
 0	 80	  x	 80
 1	 32	 31	 32
 2	 33	 33	 33
 3	 34	 34	 34
 4	 35	 35	 35
 5	 36	 36	 36
 6	 38	 38	 38
 7	 49	 49	 49
 8	 50	 50	 50
 9	 51	 51	 51
10	 52	 52	 52
11	 65	 65	 65

 
 segundo estado 
 0	 65	 65	 80
 1	 31	 31	 32
 2	 33	 33	 33
 3	 34	 34	 34
 4	 35	 35	 35
 5	 36	 36	 36
 6	 38	 38	 38
 7	 49	 49	 49
 8	 50	 50	 50
 9	 51	 51	 51
10	 52	 52	 52
11	 65	 65	 65

 
 tercer estado 
 0	 65	 65	 80
 1	 31	 32	 32
 2	 33	 35	 33
 3	 34	 36	 34
 4	 35	 37	 35
 5	 36	 39	 36
 6	 38	 41	 38
 7	 49	 53	 49
 8	 50	 50	 50
 9	 51	 51	 51
10	 52	 52	 52
11	 65	 65	 65
